Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2026/2/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Antigua and Barbuda,ATG,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.894,63.285,63.002,62.597,63.077,63.678,63.649,63.26,63.133,62.908,63.282,63.444,63.508,63.715,63.577,64.509,64.85,65.275,65.564,65.502,65.48,65.514,65.245,65.025,64.787,65.076,64.952,65.248,65.804,66.088,65.028,66.147,66.89,67.023,66.719,66.537
Austria,AUT,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.663,56.086,56.94,57.19,58.694,58.884,58.394,58.088,58.404,58.575,58.429,57.892,58.691,58.728,57.643,58.064,58.563,59.423,59.658,59.921,59.876,59.909,60.207,60.362,60.172,60.224,60.696,60.665,60.919,60.898,60.363,60.631,60.883,60.853,60.507,60.124
Azerbaijan,AZE,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.533,69.731,72.303,75.515,78.573,80.495,80.508,79.953,78.887,78.122,76.8,74.597,72.482,70.534,67.969,66.542,64.801,61.787,60.823,60.983,60.864,61.19,61.594,61.896,62.761,63.537,64.652,65.038,65.399,65.227,67.223,63.7,64.776,64.345,63.901,63.288
Burundi,BDI,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.094,89.552,88.994,88.252,87.504,86.881,86.054,85.137,84.217,83.449,82.655,81.858,81.042,80.201,79.346,78.43,77.447,77.677,77.879,78.159,78.422,78.565,78.701,78.839,78.938,79.489,79.924,80.093,80.045,79.741,78.546,79.094,79.104,78.801,78.492,78.255
Belgium,BEL,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.258,49.193,49.523,49.624,50.229,50.439,50.399,50.488,50.744,51.87,52.243,50.791,51.102,51.255,51.947,53.294,53.109,53.656,53.695,53.514,54.162,53.296,53.328,53.617,53.575,53.369,53.164,53.336,53.669,53.896,53.382,54.048,54.576,54.407,54.538,54.274
Benin,BEN,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.156,72.16,72.16,72.119,72.078,72.037,71.996,71.955,71.914,71.873,71.832,71.791,71.75,71.764,71.779,71.793,71.808,71.822,71.837,71.851,71.865,71.88,72.295,72.707,73.115,73.519,73.919,74.315,74.707,75.095,74.78,76.076,76.28,76.274,76.27,76.356
Burkina Faso,BFA,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.898,83.93,83.732,83.532,83.329,83.125,82.919,82.711,82.501,82.289,82.074,81.858,81.64,81.42,81.198,80.973,80.747,80.518,80.288,80.056,79.821,79.584,79.346,79.105,78.862,78.617,78.371,78.122,77.871,77.617,75.189,73.984,72.337,71.195,70.062,70.005
Bangladesh,BGD,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.777,56.918,57.069,57.219,57.375,57.533,57.69,57.837,57.966,58.076,58.163,58.206,58.207,58.187,58.156,58.12,58.071,58.198,58.324,58.45,58.576,58.112,57.647,57.18,56.817,56.454,56.09,58.328,58.915,59.47,59.77,61.085,61.873,60.885,58.903,58.796
Bulgaria,BGR,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.259,50.143,50.065,49.909,49.792,49.656,49.443,50.013,49.789,50.184,49.952,51.474,50.96,50.16,50.909,50.129,52.014,53.547,54.862,54.1,53.503,52.551,53.174,53.937,53.967,54.209,53.31,55.405,55.316,56.659,55.878,55.392,56.735,56.896,56.275,56.115
